event_name,date,fighter_1_name,fighter_2_name,fighter_1_url,fighter_2_url,fighter_1_str,fighter_2_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,fighter_1_pass,fighter_2_pass,weight_class,win_method,win_round,win_time,winner,fight_url
UFC_Fight_Night-Blaydes_vs_Volkov,"June 20, 2020",Curtis Blaydes,Alexander Volkov,http://www.ufcstats.com/fighter-details/fa6796c55d6c5440,http://www.ufcstats.com/fighter-details/279566840aa55bf2,69.0,31.0,14.0,1.0,0.0,0.0,3.0,0.0,Heavyweight,U-DEC,5,5:00,fighter_1,http://www.ufcstats.com/fight-details/0c3622569cd8062a
UFC_Fight_Night-Blaydes_vs_Volkov,"June 20, 2020",Josh Emmett,Shane Burgos,http://www.ufcstats.com/fighter-details/fba03cd6cc28dc41,http://www.ufcstats.com/fighter-details/98d961097baaf308,127.0,128.0,1.0,0.0,0.0,0.0,0.0,0.0,Featherweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/4f99b4a39925cb47
UFC_Fight_Night-Blaydes_vs_Volkov,"June 20, 2020",Raquel Pennington,Marion Reneau,http://www.ufcstats.com/fighter-details/fc169c387b4b465d,http://www.ufcstats.com/fighter-details/c7d297714d9ab1a4,107.0,46.0,1.0,2.0,0.0,0.0,0.0,0.0,Women's Bantamweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/8b9e9f283e76b429
UFC_Fight_Night-Blaydes_vs_Volkov,"June 20, 2020",Belal Muhammad,Lyman Good,http://www.ufcstats.com/fighter-details/b1b0729d27936f2f,http://www.ufcstats.com/fighter-details/4e0692ad070976e4,82.0,81.0,2.0,0.0,0.0,0.0,1.0,0.0,Welterweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/f00921c62315be96
UFC_Fight_Night-Blaydes_vs_Volkov,"June 20, 2020",Jim Miller,Roosevelt Roberts,http://www.ufcstats.com/fighter-details/d1941565abf50b16,http://www.ufcstats.com/fighter-details/37c5366d18ed6c05,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,Catch Weight,"SUB, Armbar",1,2:25,fighter_1,http://www.ufcstats.com/fight-details/9b39e15b42422a08
UFC_Fight_Night-Blaydes_vs_Volkov,"June 20, 2020",Bobby Green,Clay Guida,http://www.ufcstats.com/fighter-details/887961364be5ceb3,http://www.ufcstats.com/fighter-details/c47df9303d318c67,85.0,23.0,2.0,3.0,2.0,0.0,0.0,0.0,Lightweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/d851cbbbdfd05a49
UFC_Fight_Night-Blaydes_vs_Volkov,"June 20, 2020",Tecia Torres,Brianna Van Buren,http://www.ufcstats.com/fighter-details/31ef8b67e13495b3,http://www.ufcstats.com/fighter-details/b53c46f613f6f248,74.0,34.0,0.0,2.0,0.0,0.0,0.0,1.0,Women's Strawweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/1adee75d6c671cc8
UFC_Fight_Night-Blaydes_vs_Volkov,"June 20, 2020",Marc-Andre Barriault,Oskar Piechota,http://www.ufcstats.com/fighter-details/8e9eb3fc86db0f7d,http://www.ufcstats.com/fighter-details/1cf7ccf64a5bf24e,74.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,Middleweight,"KO/TKO, Punches",2,4:50,fighter_1,http://www.ufcstats.com/fight-details/f044802db5688bbe
UFC_Fight_Night-Blaydes_vs_Volkov,"June 20, 2020",Gillian Robertson,Cortney Casey,http://www.ufcstats.com/fighter-details/38c7f72747f4f712,http://www.ufcstats.com/fighter-details/5f179af5fffeb9f6,21.0,22.0,3.0,0.0,1.0,0.0,5.0,0.0,Women's Flyweight,"SUB, Rear, Naked, Choke",3,4:36,fighter_1,http://www.ufcstats.com/fight-details/90715135a543b6e3
UFC_Fight_Night-Blaydes_vs_Volkov,"June 20, 2020",Justin Jaynes,Frank Camacho,http://www.ufcstats.com/fighter-details/304a21d0595e1a08,http://www.ufcstats.com/fighter-details/764342d39cdaa54a,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Lightweight,"KO/TKO, Punches",1,0:41,fighter_1,http://www.ufcstats.com/fight-details/7f0175f71481b63d
UFC_Fight_Night-Blaydes_vs_Volkov,"June 20, 2020",Lauren Murphy,Roxanne Modafferi,http://www.ufcstats.com/fighter-details/729d4bd5a6cd0a97,http://www.ufcstats.com/fighter-details/4498b382c65a7faa,72.0,44.0,2.0,0.0,0.0,0.0,1.0,0.0,Women's Flyweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/088b47d890b389e9
UFC_Fight_Night-Blaydes_vs_Volkov,"June 20, 2020",Austin Hubbard,Max Rohskopf,http://www.ufcstats.com/fighter-details/d2cd7a69cc55e7ed,http://www.ufcstats.com/fighter-details/59a27d2e6d0802ac,58.0,17.0,0.0,2.0,0.0,1.0,0.0,2.0,Lightweight,KO/TKO,2,5:00,fighter_1,http://www.ufcstats.com/fight-details/d333a6c34ff16397
UFC_Fight_Night-Eye_vs_Calvillo,"June 13, 2020",Cynthia Calvillo,Jessica Eye,http://www.ufcstats.com/fighter-details/98215d037be5bcb7,http://www.ufcstats.com/fighter-details/f72465a784c1b084,113.0,70.0,4.0,0.0,0.0,0.0,8.0,0.0,Women's Flyweight,U-DEC,5,5:00,fighter_1,http://www.ufcstats.com/fight-details/b8b692aa2aae3310
UFC_Fight_Night-Eye_vs_Calvillo,"June 13, 2020",Marvin Vettori,Karl Roberson,http://www.ufcstats.com/fighter-details/7acbb0972e75281a,http://www.ufcstats.com/fighter-details/37d5b176d438d2a5,45.0,4.0,2.0,0.0,2.0,0.0,2.0,1.0,Middleweight,"SUB, Rear, Naked, Choke",1,4:17,fighter_1,http://www.ufcstats.com/fight-details/e857ca0bc3b9fdcd
UFC_Fight_Night-Eye_vs_Calvillo,"June 13, 2020",Charles Rosa,Kevin Aguilar,http://www.ufcstats.com/fighter-details/40093d1d2d78394e,http://www.ufcstats.com/fighter-details/cf946e03ba2e7666,69.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,Lightweight,S-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/1109a8f2adc81ce0
UFC_Fight_Night-Eye_vs_Calvillo,"June 13, 2020",Andre Fili,Charles Jourdain,http://www.ufcstats.com/fighter-details/8fd808923cffff82,http://www.ufcstats.com/fighter-details/f1d64ae34e088832,44.0,62.0,5.0,0.0,0.0,0.0,5.0,0.0,Featherweight,S-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/cab532b4544580bd
UFC_Fight_Night-Eye_vs_Calvillo,"June 13, 2020",Jordan Espinosa,Mark De La Rosa,http://www.ufcstats.com/fighter-details/215a70f073a7b726,http://www.ufcstats.com/fighter-details/f57dd0bfa8c17813,126.0,37.0,2.0,0.0,0.0,0.0,2.0,0.0,Bantamweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/e36b8b88646f72f8
UFC_Fight_Night-Eye_vs_Calvillo,"June 13, 2020",Mariya Agapova,Hannah Cifers,http://www.ufcstats.com/fighter-details/a08ddd04eaffd81d,http://www.ufcstats.com/fighter-details/2244d9a2b64b8c3b,29.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,Women's Flyweight,"SUB, Rear, Naked, Choke",1,2:42,fighter_1,http://www.ufcstats.com/fight-details/7606d2f8d8b0e889
UFC_Fight_Night-Eye_vs_Calvillo,"June 13, 2020",Merab Dvalishvili,Gustavo Lopez,http://www.ufcstats.com/fighter-details/c03520b5c88ed6b4,http://www.ufcstats.com/fighter-details/93b62c5f2ba18e51,73.0,14.0,13.0,0.0,2.0,0.0,14.0,0.0,Catch Weight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/05061dd590c9eb34
UFC_Fight_Night-Eye_vs_Calvillo,"June 13, 2020",Julia Avila,Gina Mazany,http://www.ufcstats.com/fighter-details/86d9dbe1bfcbade7,http://www.ufcstats.com/fighter-details/016a8d958883167c,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Women's Bantamweight,"KO/TKO, Punches",1,0:22,fighter_1,http://www.ufcstats.com/fight-details/97125cd6a94b6394
UFC_Fight_Night-Eye_vs_Calvillo,"June 13, 2020",Tyson Nam,Zarrukh Adashev,http://www.ufcstats.com/fighter-details/6e00cfffd54653c4,http://www.ufcstats.com/fighter-details/79cb2a690b9ba5e8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Bantamweight,"KO/TKO, Punch",1,0:32,fighter_1,http://www.ufcstats.com/fight-details/dfbb110855354039
UFC_Fight_Night-Eye_vs_Calvillo,"June 13, 2020",Christian Aguilera,Anthony Ivy,http://www.ufcstats.com/fighter-details/ae071698e1a3ccd4,http://www.ufcstats.com/fighter-details/3c5005b66696d790,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Welterweight,"KO/TKO, Punches",1,0:59,fighter_1,http://www.ufcstats.com/fight-details/58e72b1a38880ba9
UFC_250-Nunes_vs_Spencer,"June 06, 2020",Amanda Nunes,Felicia Spencer,http://www.ufcstats.com/fighter-details/80fa8218c99f9c58,http://www.ufcstats.com/fighter-details/39d91e95949de3d9,124.0,42.0,6.0,0.0,1.0,0.0,5.0,0.0,Women's Featherweight,U-DEC,5,5:00,fighter_1,http://www.ufcstats.com/fight-details/dc38c78358e053c3
UFC_250-Nunes_vs_Spencer,"June 06, 2020",Cody Garbrandt,Raphael Assuncao,http://www.ufcstats.com/fighter-details/d8c7c61b176e3994,http://www.ufcstats.com/fighter-details/2f13e4020cea5b38,19.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Bantamweight,"KO/TKO, Punch",2,4:59,fighter_1,http://www.ufcstats.com/fight-details/0ddf834a47533d15
UFC_250-Nunes_vs_Spencer,"June 06, 2020",Aljamain Sterling,Cory Sandhagen,http://www.ufcstats.com/fighter-details/cb696ebfb6598724,http://www.ufcstats.com/fighter-details/65f09bacd3957381,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,Bantamweight,"SUB, Rear, Naked, Choke",1,1:28,fighter_1,http://www.ufcstats.com/fight-details/c03b6b6ce5d03276
UFC_250-Nunes_vs_Spencer,"June 06, 2020",Neil Magny,Anthony Rocco Martin,http://www.ufcstats.com/fighter-details/84b3e7d38f2d2ec5,http://www.ufcstats.com/fighter-details/5331b25a60417ffb,64.0,37.0,0.0,1.0,0.0,0.0,0.0,1.0,Welterweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/8bede5047e97d602
UFC_250-Nunes_vs_Spencer,"June 06, 2020",Sean O'Malley,Eddie Wineland,http://www.ufcstats.com/fighter-details/b50a426a33da0012,http://www.ufcstats.com/fighter-details/fc9a9559a05f2704,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Bantamweight,"KO/TKO, Punch",1,1:54,fighter_1,http://www.ufcstats.com/fight-details/58584ccd0f63e3f3
UFC_250-Nunes_vs_Spencer,"June 06, 2020",Alex Caceres,Chase Hooper,http://www.ufcstats.com/fighter-details/7aa3d6964eff4877,http://www.ufcstats.com/fighter-details/971246648e162f0d,103.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,Featherweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/f2cd665eab69876a
UFC_250-Nunes_vs_Spencer,"June 06, 2020",Ian Heinisch,Gerald Meerschaert,http://www.ufcstats.com/fighter-details/2e585c701f72fe55,http://www.ufcstats.com/fighter-details/6ac9bc2953c47345,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Middleweight,"KO/TKO, Punch",1,1:14,fighter_1,http://www.ufcstats.com/fight-details/6fe8bce03a46350b
UFC_250-Nunes_vs_Spencer,"June 06, 2020",Cody Stamann,Brian Kelleher,http://www.ufcstats.com/fighter-details/bf7ad5628363eec9,http://www.ufcstats.com/fighter-details/7be14eaed4c74856,89.0,57.0,2.0,1.0,0.0,0.0,0.0,0.0,Featherweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/c6ca435e24c5f4e4
UFC_250-Nunes_vs_Spencer,"June 06, 2020",Maki Pitolo,Charles Byrd,http://www.ufcstats.com/fighter-details/c549573c0df4d676,http://www.ufcstats.com/fighter-details/76ee3d666c648f6b,29.0,11.0,3.0,1.0,0.0,0.0,2.0,1.0,Middleweight,"KO/TKO, Punches",2,1:10,fighter_1,http://www.ufcstats.com/fight-details/1c7ea3928c7d0ad8
UFC_250-Nunes_vs_Spencer,"June 06, 2020",Alex Perez,Jussier Formiga,http://www.ufcstats.com/fighter-details/ab2b4ff41d6ebe0f,http://www.ufcstats.com/fighter-details/b102c26727306ab6,29.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,Flyweight,"KO/TKO, Kick",1,4:06,fighter_1,http://www.ufcstats.com/fight-details/de4c4997f1429dd1
UFC_250-Nunes_vs_Spencer,"June 06, 2020",Devin Clark,Alonzo Menifield,http://www.ufcstats.com/fighter-details/cc7040fe76f0ef91,http://www.ufcstats.com/fighter-details/a495f599e787614f,79.0,39.0,1.0,0.0,0.0,0.0,1.0,0.0,Light Heavyweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/5fdf6611815efdfb
UFC_250-Nunes_vs_Spencer,"June 06, 2020",Herbert Burns,Evan Dunham,http://www.ufcstats.com/fighter-details/4f140403000158b5,http://www.ufcstats.com/fighter-details/e5c9de15bb58b1c6,5.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,Catch Weight,"SUB, Rear, Naked, Choke",1,1:20,fighter_1,http://www.ufcstats.com/fight-details/20ba608a6e717f05
UFC_Fight_Night-Woodley_vs_Burns,"May 30, 2020",Gilbert Burns,Tyron Woodley,http://www.ufcstats.com/fighter-details/23024fdfc966410a,http://www.ufcstats.com/fighter-details/effd9de9937996f8,83.0,28.0,2.0,0.0,1.0,0.0,3.0,0.0,Welterweight,U-DEC,5,5:00,fighter_1,http://www.ufcstats.com/fight-details/e9eab0fa03eecd9b
UFC_Fight_Night-Woodley_vs_Burns,"May 30, 2020",Augusto Sakai,Blagoy Ivanov,http://www.ufcstats.com/fighter-details/441eacbe20e0e80b,http://www.ufcstats.com/fighter-details/1788eee370f077b7,78.0,66.0,0.0,1.0,0.0,0.0,0.0,1.0,Heavyweight,S-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/a6743d41b0b95271
UFC_Fight_Night-Woodley_vs_Burns,"May 30, 2020",Billy Quarantillo,Spike Carlyle,http://www.ufcstats.com/fighter-details/aa171d55d4b5208f,http://www.ufcstats.com/fighter-details/be68b375707dcb85,49.0,37.0,2.0,3.0,2.0,0.0,2.0,4.0,Catch Weight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/1e9a2b197ebff074
UFC_Fight_Night-Woodley_vs_Burns,"May 30, 2020",Roosevelt Roberts,Brok Weaver,http://www.ufcstats.com/fighter-details/37c5366d18ed6c05,http://www.ufcstats.com/fighter-details/7c9f96f9a6a5cd50,40.0,14.0,1.0,0.0,3.0,0.0,3.0,0.0,Lightweight,"SUB, Rear, Naked, Choke",2,3:26,fighter_1,http://www.ufcstats.com/fight-details/03e5127d4832750c
UFC_Fight_Night-Woodley_vs_Burns,"May 30, 2020",Mackenzie Dern,Hannah Cifers,http://www.ufcstats.com/fighter-details/7447e9f28508106a,http://www.ufcstats.com/fighter-details/2244d9a2b64b8c3b,5.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,Women's Strawweight,"SUB, Kneebar",1,2:36,fighter_1,http://www.ufcstats.com/fight-details/3640defb8294bd37
UFC_Fight_Night-Woodley_vs_Burns,"May 30, 2020",Katlyn Chookagian,Antonina Shevchenko,http://www.ufcstats.com/fighter-details/e872e9a9a902c045,http://www.ufcstats.com/fighter-details/d7338bcb141abd2c,73.0,25.0,3.0,0.0,4.0,0.0,3.0,0.0,Women's Flyweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/a41384da70013373
UFC_Fight_Night-Woodley_vs_Burns,"May 30, 2020",Daniel Rodriguez,Gabe Green,http://www.ufcstats.com/fighter-details/8a1f3b5c526cd6e6,http://www.ufcstats.com/fighter-details/5eb50529a8418b77,175.0,127.0,1.0,0.0,0.0,0.0,1.0,0.0,Welterweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/767819f321431bed
UFC_Fight_Night-Woodley_vs_Burns,"May 30, 2020",Jamahal Hill,Klidson Abreu,http://www.ufcstats.com/fighter-details/5444c5a201d3ee5a,http://www.ufcstats.com/fighter-details/7279654c7674cd24,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Light Heavyweight,"KO/TKO, Knee",1,1:51,fighter_1,http://www.ufcstats.com/fight-details/0fcf42b68f2f0fa3
UFC_Fight_Night-Woodley_vs_Burns,"May 30, 2020",Brandon Royval,Tim Elliott,http://www.ufcstats.com/fighter-details/6e15f63b6c2e2c15,http://www.ufcstats.com/fighter-details/c96d9178c9ed9e62,16.0,17.0,1.0,4.0,2.0,0.0,3.0,2.0,Flyweight,"SUB, Arm, Triangle",2,3:18,fighter_1,http://www.ufcstats.com/fight-details/0170db5fad04e4d0
UFC_Fight_Night-Woodley_vs_Burns,"May 30, 2020",Casey Kenney,Louis Smolka,http://www.ufcstats.com/fighter-details/e7bba7ce4d6c7b07,http://www.ufcstats.com/fighter-details/d2bc285ead803db0,32.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,Bantamweight,"SUB, Guillotine, Choke",1,3:03,fighter_1,http://www.ufcstats.com/fight-details/57dec2b07b75dada
UFC_Fight_Night-Woodley_vs_Burns,"May 30, 2020",Chris Gutierrez,Vince Morales,http://www.ufcstats.com/fighter-details/45f0cc9d18f35137,http://www.ufcstats.com/fighter-details/37098a6e6c27fb66,60.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Featherweight,"KO/TKO, Kick",2,4:27,fighter_1,http://www.ufcstats.com/fight-details/2300ad7f87080ad7
UFC_Fight_Night-Overeem_vs_Harris,"May 16, 2020",Alistair Overeem,Walt Harris,http://www.ufcstats.com/fighter-details/b4ad3a06ee4d660c,http://www.ufcstats.com/fighter-details/03f982ca3735070c,68.0,25.0,1.0,0.0,0.0,0.0,3.0,0.0,Heavyweight,"KO/TKO, Punches",2,3:00,fighter_1,http://www.ufcstats.com/fight-details/ce0748519d5ea5c6
UFC_Fight_Night-Overeem_vs_Harris,"May 16, 2020",Claudia Gadelha,Angela Hill,http://www.ufcstats.com/fighter-details/ec34349e7dffcde7,http://www.ufcstats.com/fighter-details/f0feeb2192937424,84.0,90.0,1.0,0.0,0.0,0.0,1.0,0.0,Women's Strawweight,S-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/27bfb9205119f23b
UFC_Fight_Night-Overeem_vs_Harris,"May 16, 2020",Dan Ige,Edson Barboza,http://www.ufcstats.com/fighter-details/82a5152216251682,http://www.ufcstats.com/fighter-details/64a50dad704d1d49,79.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,Featherweight,S-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/58540b24ed77d31b
UFC_Fight_Night-Overeem_vs_Harris,"May 16, 2020",Krzysztof Jotko,Eryk Anders,http://www.ufcstats.com/fighter-details/4e06913c91da5200,http://www.ufcstats.com/fighter-details/cad24459b28592ca,66.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,Middleweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/821a1c6f5d7fab14
UFC_Fight_Night-Overeem_vs_Harris,"May 16, 2020",Song Yadong,Marlon Vera,http://www.ufcstats.com/fighter-details/efb96bf3e9ada36f,http://www.ufcstats.com/fighter-details/7c7332319c14094c,101.0,92.0,0.0,2.0,0.0,0.0,0.0,1.0,Featherweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/81f2f2d4b0302590
UFC_Fight_Night-Overeem_vs_Harris,"May 16, 2020",Miguel Baeza,Matt Brown,http://www.ufcstats.com/fighter-details/82d4c957649faf9b,http://www.ufcstats.com/fighter-details/31123249b0bbf52e,37.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,Welterweight,"KO/TKO, Punch",2,0:18,fighter_1,http://www.ufcstats.com/fight-details/adac148ee6fa3bf7
UFC_Fight_Night-Overeem_vs_Harris,"May 16, 2020",Kevin Holland,Anthony Hernandez,http://www.ufcstats.com/fighter-details/3a46b268013afede,http://www.ufcstats.com/fighter-details/093e1f5bb73850be,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middleweight,"KO/TKO, Knees",1,0:39,fighter_1,http://www.ufcstats.com/fight-details/51461da4ba467901
UFC_Fight_Night-Overeem_vs_Harris,"May 16, 2020",Giga Chikadze,Irwin Rivera,http://www.ufcstats.com/fighter-details/9560ff14eb3129f7,http://www.ufcstats.com/fighter-details/06a80a685ea98573,61.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,Featherweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/b1e66cea3a4d4709
UFC_Fight_Night-Overeem_vs_Harris,"May 16, 2020",Nate Landwehr,Darren Elkins,http://www.ufcstats.com/fighter-details/583ee11abddfc581,http://www.ufcstats.com/fighter-details/92a9aa9c93192871,118.0,121.0,0.0,1.0,0.0,0.0,0.0,1.0,Featherweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/f039c93516e48253
UFC_Fight_Night-Overeem_vs_Harris,"May 16, 2020",Cortney Casey,Mara Romero Borella,http://www.ufcstats.com/fighter-details/5f179af5fffeb9f6,http://www.ufcstats.com/fighter-details/82cbb809d5ee565c,6.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,Women's Flyweight,"SUB, Armbar",1,3:36,fighter_1,http://www.ufcstats.com/fight-details/906283a2adcbc3e0
UFC_Fight_Night-Overeem_vs_Harris,"May 16, 2020",Rodrigo Nascimento,Don'Tale Mayes,http://www.ufcstats.com/fighter-details/d31a5546c0e9b213,http://www.ufcstats.com/fighter-details/1a9480fc288e55d7,32.0,27.0,2.0,0.0,1.0,0.0,2.0,0.0,Heavyweight,"SUB, Rear, Naked, Choke",2,2:05,fighter_1,http://www.ufcstats.com/fight-details/ebe122e962d26fa4
UFC_Fight_Night-Smith_vs_Teixeira,"May 13, 2020",Glover Teixeira,Anthony Smith,http://www.ufcstats.com/fighter-details/7ff97850e8c32bda,http://www.ufcstats.com/fighter-details/d4c9dcd330403612,138.0,86.0,1.0,1.0,0.0,0.0,5.0,0.0,Light Heavyweight,"KO/TKO, Punches",5,1:04,fighter_1,http://www.ufcstats.com/fight-details/8539c4b795d33a92
UFC_Fight_Night-Smith_vs_Teixeira,"May 13, 2020",Ben Rothwell,Ovince Saint Preux,http://www.ufcstats.com/fighter-details/bd58d34e39b7b12a,http://www.ufcstats.com/fighter-details/50db8711c70196cd,56.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,Heavyweight,S-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/394ae51820bedd4c
UFC_Fight_Night-Smith_vs_Teixeira,"May 13, 2020",Drew Dober,Alexander Hernandez,http://www.ufcstats.com/fighter-details/519e4fe37ce9ff75,http://www.ufcstats.com/fighter-details/262a7d06203657e6,61.0,34.0,0.0,3.0,0.0,0.0,0.0,0.0,Lightweight,"KO/TKO, Punches",2,4:25,fighter_1,http://www.ufcstats.com/fight-details/46c050a827ee83d6
